Month,Autosales,Inflation,Unemploy,PPI,GasPrices
1,581400,2.800,6.200,127.200,1.082
2,647800,2.860,5.900,128.400,1.073
3,798300,2.850,5.700,129.100,1.072
4,685500,3.050,5.600,129.800,1.111
5,824700,3.190,5.500,129.900,1.178
6,852300,3.040,5.800,129.700,1.192
7,720800,2.760,5.900,129.900,1.154
8,805800,2.620,5.600,130.400,1.123
9,713200,2.540,5.400,129.400,1.111
10,698600,2.810,5.200,128.400,1.087
11,641300,2.610,5.300,126.900,1.062
12,650600,2.540,5.200,126.600,1.071
1,564500,2.730,6.300,127.000,1.090
2,687700,2.650,6.000,126.300,1.089
3,789400,2.840,5.800,125.700,1.137
4,757100,2.900,5.400,125.900,1.231
5,867200,2.890,5.400,126.300,1.279
6,788800,2.750,5.500,126.200,1.256
7,728000,2.950,5.600,125.800,1.227
8,745100,2.880,5.100,126.200,1.207
9,691900,3.000,5.000,126.400,1.202
10,673100,2.990,4.900,125.500,1.204
11,586200,3.260,5.000,124.300,1.232
12,599600,3.320,5.000,124.200,1.235
1,608600,3.040,5.900,125.500,1.236
2,644600,3.030,5.700,126.600,1.230
3,762300,2.760,5.500,126.200,1.205
4,694600,2.500,4.800,125.800,1.199
5,767400,2.230,4.700,126.000,1.200
6,735400,2.300,5.200,126.100,1.198
7,735000,2.230,5.000,126.700,1.174
8,735600,2.230,4.800,126.800,1.224
9,663600,2.150,4.700,126.800,1.231
10,659700,2.080,4.400,126.800,1.197
11,558500,1.830,4.300,127.200,1.171
12,652300,1.700,4.400,127.000,1.131
1,522500,1.570,5.200,127.000,1.086
2,611600,1.440,5.000,126.600,1.049
3,719900,1.380,5.000,125.700,1.017
4,706700,1.440,4.100,125.500,1.030
5,789100,1.690,4.200,125.300,1.064
6,813800,1.680,4.700,125.000,1.064
7,630700,1.680,4.700,124.200,1.055
8,669800,1.620,4.500,122.600,1.026
9,680200,1.490,4.400,120.500,1.009
10,708300,1.490,4.200,117.600,1.019
11,556000,1.550,4.100,115.600,0.995
12,676300,1.610,4.000,114.500,0.945
1,543500,1.670,4.800,113.900,0.939
2,666900,1.610,4.700,113.800,0.921
3,783900,1.730,4.400,112.900,0.982
4,732600,2.280,4.100,112.800,1.131
5,826200,2.090,4.000,113.100,1.131
6,825800,1.960,4.500,113.800,1.114
7,766000,2.140,4.500,113.400,1.158
8,792200,2.260,4.200,114.000,1.221
9,710200,2.630,4.100,113.900,1.256
10,683000,2.560,3.800,114.300,1.244
